iter	Passed	Remaining
408	4563	6594
409	4575	6583
410	4586	6573
411	4597	6562
412	4608	6550
413	4619	6539
414	4631	6528
415	4642	6517
416	4653	6506
417	4663	6493
418	4674	6481
419	4684	6468
420	4695	6458
421	4707	6447
422	4717	6434
423	4729	6425
424	4741	6415
425	4753	6404
426	4764	6393
427	4776	6383
428	4789	6375
429	4800	6363
430	4812	6353
431	4823	6341
432	4833	6329
433	4843	6316
434	4853	6304
435	4863	6290
436	4872	6277
437	4883	6265
438	4893	6252
439	4903	6240
440	4913	6228
441	4923	6215
442	4933	6203
443	4943	6190
444	4953	6177
445	4962	6164
446	4973	6153
447	4984	6141
448	4993	6128
449	5003	6115
450	5015	6105
451	5025	6092
452	5035	6080
453	5046	6069
454	5056	6056
455	5066	6044
456	5077	6032
457	5089	6022
458	5100	6011
459	5112	6001
460	5123	5990
461	5135	5980
462	5145	5968
463	5155	5955
464	5164	5941
465	5174	5929
466	5184	5917
467	5194	5904
468	5203	5891
469	5213	5878
470	5222	5865
471	5231	5852
472	5240	5839
473	5250	5826
474	5260	5814
475	5269	5801
476	5280	5789
477	5289	5776
478	5299	5764
479	5309	5751
480	5319	5739
481	5329	5728
482	5340	5716
483	5349	5702
484	5358	5690
485	5368	5677
486	5376	5663
487	5387	5652
488	5396	5639
489	5405	5626
490	5415	5613
491	5424	5601
492	5435	5589
493	5445	5577
494	5454	5564
495	5462	5550
496	5471	5537
497	5480	5524
498	5489	5511
499	5498	5498
500	5506	5484
501	5516	5472
502	5525	5459
503	5535	5447
504	5545	5435
505	5555	5423
506	5564	5411
507	5573	5397
508	5583	5386
509	5593	5374
510	5603	5362
511	5613	5349
512	5622	5337
513	5632	5325
514	5641	5313
515	5653	5302
516	5665	5292
517	5676	5281
518	5686	5269
519	5696	5258
520	5707	5247
521	5717	5235
522	5727	5224
523	5737	5211
524	5747	5200
525	5756	5187
526	5765	5174
527	5774	5162
528	5784	5149
529	5793	5137
530	5803	5125
531	5812	5113
532	5822	5101
533	5831	5088
534	5841	5076
535	5850	5065
536	5860	5052
537	5871	5041
538	5881	5030
539	5891	5018
540	5901	5007
541	5912	4995
542	5922	4984
543	5932	4972
544	5940	4959
545	5950	4947
546	5959	4935
547	5967	4922
548	5977	4910
549	5986	4897
550	5995	4885
551	6005	4873
552	6014	4861
553	6022	4848
554	6033	4837
555	6042	4825
556	6050	4812
557	6060	4800
558	6069	4788
559	6078	4776
560	6087	4763
561	6097	4751
562	6106	4739
563	6114	4727
564	6124	4714
565	6133	4703
566	6142	4691
567	6151	4678
568	6161	4666
569	6169	4654
570	6178	4642
571	6187	4629
572	6196	4617
573	6205	4605
574	6216	4594
575	6225	4582
576	6244	4577
577	6253	4565
578	6263	4553
579	6273	4542
580	6282	4530
581	6292	4519
582	6301	4507
583	6311	4495
584	6320	4483
585	6328	4471
586	6338	4459
587	6347	4447
588	6355	4434
589	6365	4423
590	6373	4410
591	6382	4398
592	6390	4386
593	6400	4374
594	6410	4363
595	6419	4351
596	6428	4339
597	6437	4327
598	6446	4315
599	6455	4303
600	6465	4292
601	6474	4280
602	6483	4268
603	6493	4257
604	6502	4245
605	6511	4233
606	6520	4221
607	6530	4210
608	6542	4200
609	6553	4189
610	6564	4179
611	6572	4166
612	6582	4155
613	6591	4143
614	6600	4131
615	6610	4121
616	6619	4109
617	6628	4097
618	6638	4085
619	6647	4074
620	6658	4063
621	6668	4052
622	6677	4040
623	6686	4029
624	6694	4016
625	6704	4005
626	6713	3994
627	6724	3983
628	6733	3971
629	6742	3960
630	6752	3948
631	6761	3937
632	6772	3926
633	6782	3915
634	6793	3905
635	6802	3893
636	6814	3883
637	6824	3871
638	6833	3860
639	6842	3848
640	6851	3837
641	6860	3825
642	6870	3814
643	6879	3802
644	6888	3791
645	6897	3779
646	6906	3768
647	6916	3757
648	6925	3745
649	6935	3734
650	6945	3723
651	6954	3712
652	6964	3701
653	6973	3689
654	6997	3685
655	7006	3674
656	7016	3663
657	7026	3652
658	7036	3641
659	7047	3630
660	7055	3618
661	7064	3606
662	7073	3595
663	7083	3584
664	7092	3573
665	7101	3561
666	7110	3549
667	7120	3538
668	7129	3527
669	7138	3515
670	7148	3504
671	7157	3493
672	7167	3482
673	7177	3471
674	7186	3460
675	7196	3449
676	7204	3437
677	7213	3426
678	7223	3414
679	7232	3403
680	7240	3391
681	7250	3380
682	7259	3369
683	7267	3357
684	7277	3346
685	7286	3335
686	7296	3324
687	7305	3313
688	7314	3301
689	7325	3291
690	7334	3279
691	7342	3268
692	7353	3257
693	7361	3246
694	7370	3234
695	7380	3223
696	7388	3211
697	7397	3200
698	7406	3189
699	7415	3178
700	7425	3167
701	7433	3155
702	7442	3144
703	7451	3133
704	7461	3122
705	7470	3110
706	7480	3100
707	7489	3089
708	7499	3078
709	7508	3067
710	7518	3056
711	7528	3045
712	7538	3034
713	7548	3023
714	7557	3012
715	7566	3001
716	7576	2990
717	7585	2979
718	7594	2968
719	7603	2956
720	7613	2946
721	7623	2935
722	7632	2924
723	7643	2913
724	7651	2902
725	7660	2891
726	7669	2880
727	7679	2869
728	7688	2858
729	7699	2847
730	7707	2836
731	7716	2825
732	7725	2814
733	7734	2802
734	7747	2793
735	7757	2782
736	7766	2771
737	7775	2760
738	7784	2749
739	7795	2738
740	7804	2727
741	7814	2717
742	7823	2706
743	7833	2695
744	7842	2684
745	7851	2673
746	7876	2667
747	7887	2657
748	7898	2646
749	7907	2635
750	7918	2625
751	7929	2614
752	7938	2604
753	7947	2592
754	7956	2581
755	7966	2571
756	7975	2560
757	7984	2549
758	7994	2538
759	8003	2527
760	8012	2516
761	8021	2505
762	8031	2494
763	8040	2483
764	8051	2473
765	8060	2462
766	8070	2451
767	8079	2440
768	8088	2429
769	8097	2418
770	8107	2408
771	8117	2397
