iter	Logloss
0	0.586433075
1	0.5027175056
2	0.4405858086
3	0.3951049601
4	0.3570674778
5	0.3289792362
6	0.3077262539
7	0.2904378984
8	0.2767178955
9	0.2661212277
10	0.2571745487
11	0.2501121368
12	0.2444008213
13	0.2386316071
14	0.2322464583
15	0.2279326308
16	0.2244511905
17	0.2216538747
18	0.2192785509
19	0.2164226515
20	0.2144352095
21	0.2122327881
22	0.2105558302
23	0.2085725081
24	0.207175727
25	0.2058435093
26	0.2045600077
27	0.2032558933
28	0.2022655301
29	0.2013108131
30	0.19998172
31	0.19827948
32	0.1972967258
33	0.1957921583
34	0.1949253269
35	0.1940112406
36	0.1931608582
37	0.1925002323
38	0.191128852
39	0.1905048387
40	0.1897814738
41	0.1891262987
42	0.1886168484
43	0.1882094964
44	0.1874980316
45	0.1869318848
46	0.1864801008
47	0.186003462
48	0.1855923682
49	0.1849588165
50	0.1839615936
51	0.1836901872
52	0.1833356679
53	0.1830515611
54	0.1827021179
55	0.1819227193
56	0.181531428
57	0.1803016425
58	0.1800112457
59	0.1796281162
60	0.1790876007
61	0.1788995751
62	0.1786038835
63	0.1780764652
64	0.1777123778
65	0.1774955241
66	0.1772723626
67	0.1770482576
68	0.176816296
69	0.1763716278
70	0.1761676873
71	0.1759498096
72	0.1758079164
73	0.1753102264
74	0.1751665014
75	0.1749898614
76	0.1748176244
77	0.1746156659
78	0.1743620326
79	0.1739513558
80	0.1737744564
81	0.1735808673
82	0.1734477836
83	0.1732901603
84	0.1731515706
85	0.1730026118
86	0.1728154178
87	0.1727124803
88	0.1723157162
89	0.1719659085
90	0.1716234334
91	0.1714955605
92	0.1713528163
93	0.1712798911
94	0.1710314407
95	0.1708875724
96	0.1707687327
97	0.1706523463
98	0.170464052
99	0.1703529002
100	0.1702627894
101	0.1701193263
102	0.1699599575
103	0.1698631634
104	0.1696668854
105	0.1694249691
106	0.1692369817
107	0.1691250746
108	0.1689285795
109	0.1687834786
110	0.1686374469
111	0.1685854043
112	0.1684758275
113	0.1683245714
114	0.168154914
115	0.1679101452
116	0.1676302363
117	0.1675520816
118	0.1674734836
119	0.1674100104
120	0.1673060167
121	0.1671819399
122	0.1671056654
123	0.1669849319
124	0.1669092475
125	0.1668359002
126	0.1667435252
127	0.1666768188
128	0.1665577783
129	0.1664611096
130	0.1664084574
131	0.1661769952
132	0.1660716646
133	0.1658347346
134	0.1657856166
135	0.1657153753
136	0.1655144136
137	0.1653339784
138	0.1652623715
139	0.165207411
140	0.1649393616
141	0.1647990985
142	0.1646320284
143	0.1645555615
144	0.1644860221
145	0.1642466922
146	0.1641319097
147	0.1640639148
148	0.1639836409
149	0.1638935581
150	0.1637512919
151	0.1635917884
152	0.1634403195
153	0.1633443273
154	0.1632727856
155	0.1632250519
156	0.1631553684
157	0.1630769975
158	0.1629554587
159	0.1628163622
160	0.162637775
161	0.1625935296
162	0.1625483661
163	0.1625077888
164	0.1624333979
165	0.1623495365
166	0.1622411236
167	0.1621492064
168	0.1620454152
169	0.1619785038
170	0.1619228041
171	0.1617826487
172	0.1617418603
173	0.1617038659
174	0.1616496167
175	0.1615879178
176	0.1614486118
177	0.1613898671
178	0.1613155814
179	0.161279018
180	0.1612280621
181	0.1611808997
182	0.1610954988
183	0.1610284034
184	0.1607438058
185	0.1606891632
186	0.1605702023
187	0.1605252508
188	0.1604114821
189	0.1603355425
190	0.1602702069
191	0.1601264742
192	0.160003913
193	0.1599069901
194	0.1598647885
195	0.1596802673
196	0.1596393094
197	0.1595047056
198	0.1594514169
199	0.1593405516
200	0.1592592545
201	0.1591815559
202	0.1591186549
203	0.1590739687
204	0.1589293323
205	0.1588389994
206	0.1586438785
207	0.1584838732
208	0.1584394209
209	0.1582781601
210	0.1581437904
211	0.1580683
212	0.157969841
213	0.1578958537
214	0.1577124176
215	0.1576354014
216	0.1575468284
217	0.1574544542
218	0.157386879
219	0.1573374591
220	0.1572529806
221	0.1571665005
222	0.1570916536
223	0.1570442369
224	0.1569251582
225	0.1568726959
226	0.1568144438
227	0.156770685
228	0.1567284071
229	0.1566452883
230	0.1565979826
231	0.1565457984
232	0.1564528156
233	0.1563899968
234	0.1562939936
235	0.1562523634
236	0.1560962262
237	0.1560276379
238	0.155884446
239	0.1558275121
240	0.1557657352
241	0.1556272659
242	0.155555141
243	0.1554449946
244	0.1554154773
245	0.155322325
246	0.1552496787
247	0.1551912401
248	0.1550643226
249	0.1549775586
250	0.1549041146
251	0.1547937453
252	0.1546564484
253	0.1545600967
254	0.1544448497
255	0.1543460117
256	0.1542408218
257	0.1541805767
258	0.1541067708
259	0.1540480067
260	0.1539841317
261	0.1538831719
262	0.15376936
263	0.1536986033
264	0.1536296531
265	0.1535502023
266	0.1533658939
267	0.1532387331
268	0.1531750963
269	0.1531107305
270	0.1530574036
271	0.1529944695
272	0.1528877385
273	0.1528036847
274	0.1527020637
275	0.152642384
276	0.1525899294
277	0.1525342263
278	0.1524511371
279	0.1523996201
280	0.1523471968
281	0.1522999369
282	0.1522675069
283	0.1521949268
284	0.151992057
285	0.1519239688
286	0.1518206965
287	0.1516777725
288	0.1515620287
289	0.1514954029
290	0.151412657
291	0.1513444816
292	0.1512659463
293	0.15118416
294	0.1511403605
295	0.1510954047
296	0.1510271988
297	0.1509675861
298	0.1509079768
299	0.1508253004
300	0.1506957677
301	0.1506468353
302	0.1505730404
303	0.1505053779
304	0.1504675217
305	0.1504115219
306	0.1503505139
307	0.15032164
308	0.1502605226
309	0.1502079671
310	0.1501543054
311	0.1500777028
312	0.1500052083
313	0.1499126994
314	0.1498568047
315	0.1497961485
316	0.14974037
317	0.1496835319
318	0.1496039666
319	0.1495346892
320	0.149304685
321	0.1492601462
322	0.1491668972
323	0.1490492155
324	0.1489935828
325	0.148924508
326	0.1488650809
327	0.1488263575
328	0.1486663318
329	0.1486209895
330	0.1485410987
331	0.148491094
332	0.1484397286
333	0.1483464305
334	0.1483093135
335	0.148254965
336	0.1481496446
337	0.1480798789
338	0.1480195474
339	0.1479340473
340	0.1478786892
341	0.1478090795
342	0.147750985
343	0.1477164612
344	0.1476706441
345	0.1476031774
346	0.1475165719
347	0.1474683202
348	0.147405955
349	0.1473383696
350	0.1472944438
351	0.1472186203
352	0.1471333423
353	0.147083992
354	0.1469660975
355	0.1468810764
356	0.1467945141
357	0.1467465642
358	0.1466066666
359	0.1465564626
360	0.1464430737
361	0.1464170125
362	0.1463567047
363	0.1462515666
364	0.1462098762
365	0.1461344079
366	0.1460844871
367	0.1460365058
368	0.1459927809
369	0.1459471724
370	0.145797309
371	0.145762313
372	0.1456995019
373	0.1456509433
374	0.14559817
375	0.1455527683
376	0.1455078684
377	0.1454067968
378	0.1453674028
379	0.1453043577
380	0.1452244746
381	0.1451364237
382	0.145075726
383	0.1450358039
384	0.1449820226
385	0.1449005042
386	0.1448216765
387	0.1447709418
388	0.144736535
389	0.1446952879
390	0.1446618593
391	0.1445478948
392	0.1444475437
393	0.1443979077
394	0.1443122101
395	0.1442784475
396	0.1442317403
397	0.1441604835
398	0.1441347029
399	0.1440770891
400	0.144029836
401	0.1439869029
402	0.1439381087
403	0.1438610492
404	0.1437947642
405	0.1437274806
406	0.1436699566
407	0.1436193517
408	0.1435672506
409	0.1435139669
410	0.1434703106
411	0.1433760181
412	0.1433296043
413	0.1432631209
414	0.1431830588
415	0.143142189
416	0.1430756556
417	0.1430358785
418	0.1429551485
419	0.1429097146
420	0.1428032549
421	0.1427461226
422	0.1427087241
423	0.1426520174
424	0.1425912035
425	0.1425366525
426	0.1424999992
427	0.1424608985
428	0.142375963
429	0.1422732934
430	0.1421393602
431	0.1421086502
432	0.1420507219
433	0.1420133769
434	0.1419446581
435	0.1419106149
436	0.1418545795
437	0.1416823714
438	0.141581075
439	0.1415055127
440	0.1414204898
441	0.1413504147
442	0.1412736621
443	0.1412167825
444	0.1411641914
445	0.1411023602
446	0.1410568331
447	0.14102845
448	0.1409929208
449	0.1409260144
450	0.1408886837
451	0.1408290329
452	0.140750195
453	0.140712365
454	0.1406508052
455	0.1406196679
456	0.1405654331
457	0.1404647005
458	0.1403956545
459	0.1403561181
460	0.1402948515
461	0.1402029682
462	0.1401428706
463	0.1400808012
464	0.1400376426
465	0.1399931344
466	0.1399526986
467	0.1399118508
468	0.1398663288
469	0.1397965944
470	0.1397312063
471	0.1396511909
472	0.1395950029
473	0.1395436664
474	0.1394803246
475	0.1394143965
476	0.1393705571
477	0.1392996962
478	0.139257058
479	0.1391918818
480	0.1391405334
481	0.1390880932
482	0.139018681
483	0.1389787487
484	0.1389229296
485	0.1389072656
486	0.1388667569
487	0.1388070102
488	0.1387325151
489	0.1386755151
490	0.1386310823
491	0.1385734287
492	0.1384322391
493	0.1383816206
494	0.1383279351
495	0.1382740351
496	0.138235427
497	0.1381565094
498	0.1381122199
499	0.1380603773
500	0.1380280457
501	0.137978252
502	0.1379343965
503	0.1378915329
504	0.137824167
505	0.1377889303
506	0.1377313614
507	0.1377019636
508	0.1376644423
509	0.1376057265
510	0.1375495309
511	0.1374892832
512	0.1374359597
513	0.1373886998
514	0.1373398268
515	0.1372913284
516	0.137236067
517	0.137196278
518	0.1371653392
519	0.1371008021
520	0.1370623067
521	0.1370091671
522	0.136967464
523	0.1368718872
524	0.1368315659
525	0.1368170726
526	0.1367819884
527	0.1367344657
528	0.1366791907
529	0.1366408378
530	0.1365956056
531	0.136544181
532	0.1365083491
533	0.1364788174
534	0.1364355943
535	0.1363985621
536	0.1363531248
537	0.1363169225
538	0.1362465074
539	0.1362189704
540	0.1361174477
541	0.1359906091
542	0.1359403585
543	0.135896926
544	0.1358560715
545	0.1358032498
546	0.1357644942
547	0.1357241669
548	0.1356750624
549	0.1356185159
550	0.1355661918
551	0.135510866
552	0.1354816547
553	0.1354328902
554	0.1353981696
555	0.1353637382
556	0.1353278681
557	0.1352358475
558	0.1351850442
559	0.1351353039
560	0.1350976876
561	0.1350480381
562	0.1350114721
563	0.1349649768
564	0.1348824997
565	0.1348441247
566	0.134805926
567	0.1347673272
568	0.1347164171
569	0.1346705568
570	0.134611351
571	0.1345716739
572	0.1345322079
573	0.1345025245
574	0.1344603941
575	0.1344287008
576	0.1343369785
577	0.1342950762
578	0.1342505909
579	0.1342121031
580	0.1341708679
581	0.1341222339
582	0.1340872498
583	0.1340343857
584	0.1339799694
585	0.133940205
586	0.1338510793
587	0.1338122084
588	0.1337603997
589	0.1337188678
590	0.1336843821
591	0.1336552116
592	0.1335925895
593	0.1335531379
594	0.1334885974
595	0.1334338726
596	0.1333476808
597	0.1333091897
598	0.1332721727
599	0.1332128092
600	0.1331538069
601	0.133113088
602	0.1330564194
603	0.1330118383
604	0.1329711041
605	0.1329196201
606	0.1328855947
607	0.1328563521
608	0.1328264177
609	0.1327643729
610	0.1326856639
611	0.1326454926
612	0.1325993076
613	0.1325677762
614	0.1325144865
615	0.1324249174
616	0.1323819487
617	0.1323418401
618	0.132301512
619	0.1322657996
620	0.1322295541
621	0.132192588
622	0.1321477364
623	0.1321105796
624	0.1320712908
625	0.1320270004
626	0.1319795668
627	0.1319126553
628	0.1318925417
629	0.1318585629
630	0.1317856335
631	0.1317576396
632	0.1317293896
633	0.1316582065
634	0.1315948503
635	0.1315619473
636	0.131505316
637	0.1314427872
638	0.1313773058
639	0.1313160409
640	0.1312722465
641	0.1312327567
642	0.1311950607
643	0.1311291241
644	0.1310561312
645	0.1310134074
646	0.1309690874
647	0.1308858617
648	0.130838484
649	0.1307931595
650	0.1307519735
651	0.1307000953
652	0.1306160626
653	0.1305988693
654	0.1305623686
655	0.1305312831
656	0.1304801364
657	0.1304323993
658	0.1303648181
659	0.1303128035
660	0.130275578
661	0.130220526
662	0.1301670803
663	0.1300899497
664	0.1300462791
665	0.1300057373
666	0.1299265823
667	0.1298809399
668	0.1298403795
669	0.1297757306
670	0.1297414881
671	0.1297049493
672	0.1296441201
673	0.1296110179
674	0.1295744485
675	0.1295362752
676	0.1294503293
677	0.1293970837
678	0.1293517024
679	0.1293317066
680	0.1293025352
681	0.1292378625
682	0.1292000817
683	0.1291665107
684	0.12912495
685	0.1290765711
686	0.1290474447
687	0.1289857381
688	0.1289316135
689	0.1288774923
690	0.1288461456
691	0.1288226971
692	0.1287845052
693	0.128737537
694	0.1287142877
695	0.1286685172
696	0.12859498
697	0.1285605587
698	0.1285379706
699	0.128478057
700	0.1284228558
701	0.1283952086
702	0.1283590724
703	0.1282965368
704	0.1282359272
705	0.1281898159
706	0.1281421704
707	0.1280821652
708	0.1280232535
709	0.1279594057
710	0.1279093348
711	0.1278494119
712	0.1278186018
713	0.127788598
714	0.127754303
715	0.1276967104
716	0.1276638446
717	0.1276150979
718	0.1275536211
719	0.1275231645
720	0.1274582197
721	0.1274238205
722	0.1273721263
723	0.1273302502
724	0.1273085624
725	0.1272538384
726	0.1272226368
727	0.1271787804
728	0.127145234
729	0.1271035046
730	0.1270330353
731	0.1270000492
732	0.1269365921
733	0.1269122348
734	0.1268893882
735	0.1268455946
736	0.1267945311
737	0.1267526093
738	0.1267219527
739	0.126662991
740	0.1266160075
741	0.1265841599
742	0.1265413038
743	0.1265081245
744	0.1264785724
745	0.1264516364
746	0.1263975635
747	0.1263492457
748	0.1262865083
749	0.126214458
750	0.126168374
751	0.1261377267
752	0.1261114883
753	0.1260586929
754	0.1260275786
755	0.1259918281
756	0.1259386681
757	0.1259106929
758	0.1258774423
759	0.1257592087
760	0.1257060911
761	0.1256669676
762	0.1256245117
763	0.1256026552
764	0.1255571755
765	0.1255005968
766	0.1254464052
767	0.12539539
768	0.1253597726
769	0.1252997038
770	0.1252145784
771	0.1251862089
772	0.1251420881
773	0.1250870641
774	0.1250540178
775	0.1250161887
776	0.1249621362
777	0.1249189156
778	0.1248310877
779	0.1247864719
780	0.1247318014
781	0.1246646288
782	0.1246239149
783	0.1245937398
784	0.1245513662
785	0.1244993269
786	0.1244435594
787	0.1244131266
788	0.1243856303
789	0.1243455115
790	0.1243104672
791	0.1242712479
792	0.1242354041
793	0.1241874941
794	0.1241532906
795	0.1240887231
796	0.1240399
797	0.1239968558
798	0.1239564438
799	0.1239256202
800	0.1238825633
801	0.1238076265
802	0.1237592714
803	0.1237055181
804	0.1236589067
805	0.1236176749
806	0.1235892665
807	0.1235381843
808	0.1234910677
809	0.1234728122
810	0.1234341193
811	0.1233788172
812	0.1233285107
813	0.1233028285
814	0.1232749388
815	0.1232411423
816	0.1231991696
817	0.1231345495
818	0.1230857586
819	0.123043947
820	0.1230089595
821	0.122985978
822	0.1229383613
823	0.1229256227
824	0.1229008119
825	0.1228495644
826	0.122806171
827	0.1227698288
828	0.1226954931
829	0.122649114
830	0.1226019541
831	0.1225537033
832	0.1225213504
833	0.1224867664
834	0.1224516949
835	0.1223992674
836	0.1223680471
837	0.1223274595
838	0.1222953898
839	0.122259012
840	0.1222308841
841	0.1221952922
842	0.1221452967
843	0.1221061088
844	0.122095654
845	0.1220423898
846	0.122000646
847	0.1219450336
848	0.1219055083
849	0.1218555891
850	0.1218183806
851	0.1217685538
852	0.1217266702
853	0.1216746682
854	0.1216286299
855	0.1216044659
856	0.1215602993
857	0.1215193939
858	0.1214851702
859	0.121434761
860	0.1213858719
861	0.1213437415
862	0.1213289329
863	0.1212910207
864	0.1212649748
865	0.1212524185
866	0.1212150489
